0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:45:30 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:45:30 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:45:47 +0900] "GET /StudyJSP HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:45:47 +0900] "GET /StudyJSP/ HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:46:39 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:46:39 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:46:39 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:46:39 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:47:25 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:47:25 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:47:26 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:47:26 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:47:26 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:47:26 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:47:26 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:47:26 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:47:26 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 636
